user_id,version,event_clicks,calendar_adds,AI_chat_messages_sent,AI_suggestions_requested,session_duration
user_1,A,1,1,3,2,93.1
user_2,B,4,1,1,1,69.9
user_3,B,1,1,1,1,37.0
user_4,B,3,2,1,1,73.0
user_5,A,3,2,0,2,76.9
user_6,A,3,0,0,1,89.6
user_7,A,5,0,2,1,64.5
user_8,B,0,0,0,1,40.2
user_9,B,1,0,1,0,52.7
user_10,B,4,1,2,0,59.0
user_11,A,3,3,0,0,81.7
user_12,B,1,1,2,0,75.7
user_13,B,7,1,4,0,58.5
user_14,A,3,1,0,0,108.9
user_15,A,4,1,2,1,78.5
user_16,A,2,1,1,0,49.0
user_17,A,1,1,1,1,38.1
user_18,B,4,1,1,2,42.2
user_19,A,4,3,0,1,49.7
user_20,A,1,1,0,1,42.9
user_21,B,2,0,2,0,44.9
user_22,A,3,0,1,0,52.8
user_23,A,5,0,0,0,43.9
user_24,A,5,0,1,0,101.7
user_25,A,3,0,1,1,36.4
user_26,B,2,2,1,0,72.0
user_27,A,3,0,3,0,62.8
user_28,B,3,1,2,0,108.6
user_29,B,1,1,2,1,39.0
user_30,A,6,0,1,0,61.8
user_31,B,1,1,1,1,107.6
user_32,A,5,1,0,1,99.2
user_33,A,4,0,3,1,95.4
user_34,B,3,2,0,0,50.6
user_35,B,2,1,0,2,43.7
user_36,B,3,2,1,1,83.5
user_37,A,2,2,1,0,104.4
user_38,A,6,2,3,2,74.5
user_39,B,2,1,0,2,75.7
user_40,A,6,0,2,0,52.4
user_41,A,3,2,4,1,91.6
user_42,A,0,0,2,2,45.0
user_43,A,5,3,0,1,55.9
user_44,B,0,0,0,0,64.0
user_45,A,6,1,1,0,70.6
user_46,B,2,2,1,1,49.4
user_47,A,4,1,1,1,39.2
user_48,B,3,2,3,1,78.8
user_49,B,5,2,1,1,53.1
user_50,A,8,1,0,1,76.5
user_51,B,4,2,5,1,42.3
user_52,B,1,1,2,0,68.5
user_53,B,3,0,1,1,72.6
user_54,B,0,0,2,1,34.1
user_55,B,0,0,2,2,56.9
user_56,B,2,2,0,1,40.8
user_57,A,4,1,1,1,35.1
user_58,A,1,1,2,0,109.2
user_59,A,5,1,1,1,55.8
user_60,A,3,0,1,1,94.8
user_61,A,0,0,0,0,50.4
user_62,A,4,0,0,1,84.5
user_63,B,1,1,2,1,90.8
user_64,A,6,3,0,0,77.7
user_65,A,3,3,0,1,67.7
user_66,B,1,1,0,0,62.9
user_67,A,1,1,0,1,57.9
user_68,B,0,0,1,0,104.4
user_69,A,3,1,2,2,96.4
user_70,B,2,1,2,1,107.2
user_71,B,4,2,3,1,39.9
